Transactions,Transactions Transaction Id,Transactions Gross Sales,Transactions Shipping,Transactions Tax,Transactions Discount,Transactions Total Sales ?,Transactions Refunds,Transactions Total Revenue ?,Transactions Net Revenue ?
             ,,,,,,,,,
                Day of Transaction,,,,,,,,,
             ,,,,,,,,,
            ,,,,,,,,,
12/29/2020,32142338GP082443E,158,14,0,0,172,0,172,158
12/29/2020,0P093576F0350833E,148,10,0,0,158,0,158,148
12/29/2020,183932278J3195026,78,10,0,0,88,0,88,78
12/28/2020,9C72944007259201E,47,23,0,0,70,0,70,47
12/24/2020,3RM39429NG107314G,158,37,0,0,195,0,195,158
12/24/2020,2U895418VG149760P,65,8,0,0,73,0,73,65
12/24/2020,1LK72552UD9007944,72,10,0,0,82,0,82,72
12/23/2020,41D72195W21817928,78,8,0,0,86,0,86,78
12/23/2020,8XD9828547763884P,128,37,0,0,165,0,165,128
12/23/2020,5XE903503P4185235,83,10,0,0,93,0,93,83
12/23/2020,16319143NA440880G,65,8,0,0,73,0,73,65
12/23/2020,7TV18732EL461342K,75,8,0,0,83,0,83,75
12/23/2020,8L913713XU305713C,72,29,0,0,101,0,101,72
12/21/2020,561191819A990440H,328,14,0,0,342,0,342,328
12/20/2020,3NL02082H1465072D,78,5,0,0,83,0,83,78
12/19/2020,0NR88299JW702493S,32,5,0,0,37,0,37,32
12/18/2020,4MC58870WF946732F,128,10,0,0,138,0,138,128
12/18/2020,9WD48531263655025,32,5,0,0,37,0,37,32
12/18/2020,6BR76112698830053,32,5,0,0,37,0,37,32
12/18/2020,4T1572613D917570H,32,5,0,0,37,0,37,32
12/17/2020,46155743A77776747,256,10,0,0,266,0,266,256
12/17/2020,0HG74549NC0415513,98,10,0,0,108,0,108,98
12/16/2020,3RP77467S2272453S,96,10,0,0,106,0,106,96
12/15/2020,3EJ86834NF901832T,278,14,0,0,292,0,292,278
12/15/2020,4WJ557842G7376220,148,10,0,0,158,0,158,148
12/15/2020,39757533D5946204N,118,10,0,0,128,0,128,118
12/15/2020,1766472100316042J,656,22,0,0,678,0,678,656
12/15/2020,53S36376JM5075700,128,10,0,0,138,0,138,128
12/15/2020,51E073610T184532H,258,14,0,0,272,0,272,258
12/15/2020,2D988269S1435971S,128,10,0,0,138,0,138,128
12/14/2020,5FV700470K713530G,70,29,0,0,99,0,99,70
12/13/2020,8RT54357UT511001V,38,8,0,0,46,0,46,38
12/13/2020,14132556GC590682J,118,10,0,0,128,0,128,118
12/11/2020,61R73864WF948711H,158,10,0,0,168,0,168,158
12/11/2020,8JS717486Y932710Y,128,10,0,0,138,0,138,128
12/11/2020,58081253FK5039026,54,10,0,0,64,0,64,54
12/11/2020,85G11237TJ1536305,65,10,0,0,75,0,75,65
12/11/2020,3NW545786V985084S,128,10,0,0,138,0,138,128
12/11/2020,3GG31618U3600544A,54,10,0,0,64,0,64,54
12/6/2020,8J0462245M298064K,88,8,0,0,96,0,96,88
12/6/2020,0FF67056G50074009,148,10,0,0,158,0,158,148
12/6/2020,0SP76403V0865044M,45,8,0,0,53,0,53,45
12/5/2020,60R99233J1821302N,186,10,0,0,196,0,196,186
12/5/2020,4W624710W9942734F,118,14,0,0,132,0,132,118
12/5/2020,2BU44687418551623,120,8,0,0,128,0,128,120
12/5/2020,0JM86878W5692922D,74,10,0,0,84,0,84,74
12/5/2020,7EK60608DG6230746,98,29,0,0,127,0,127,98
12/4/2020,00J5734292822834E,156,18,0,0,174,0,174,156
12/4/2020,3F418070577810819,60,8,0,0,68,0,68,60
12/4/2020,78P66703J8023984H,158,8,0,0,166,0,166,158
12/4/2020,86C972701N540013G,118,10,0,0,128,0,128,118
12/4/2020,8FE32376GB560863A,158,37,0,0,195,0,195,158
12/4/2020,6HV93013610801330,72,8,0,0,80,0,80,72
12/4/2020,2Y468984RY5509224,40,5,0,0,45,0,45,40
12/4/2020,1P7891993B7327711,158,8,0,0,166,0,166,158
12/1/2020,9TJ790069G562122T,40,5,0,0,45,0,45,40
12/1/2020,24Y54589KP583181S,113,8,0,0,121,0,121,113
12/1/2020,37V86399W2811505N,88,8,0,0,96,0,96,88
12/1/2020,2UB7664502773992K,148,10,0,0,158,0,158,148
12/1/2020,6P725652EJ5246825,38,5,0,0,43,0,43,38
11/27/2020,1X9912643M108952A,56,8,0,0,64,0,64,56
11/27/2020,6PN14564SD8289303,63,5,0,0,68,0,68,63
11/26/2020,6L705192VV7170719,25.2,5,0,0,30.2,0,30.2,25.2
11/26/2020,8TX96094J7081050F,119,10,0,0,129,0,129,119
11/26/2020,437513742Y6166300,31.5,5,0,0,36.5,0,36.5,31.5
11/25/2020,29M558847A4521056,31.5,5,0,0,36.5,0,36.5,31.5
11/25/2020,6UC14343WT985852F,70,8,0,0,78,0,78,70
11/23/2020,12M52008FG5479834,248,37,0,0,285,0,285,248
11/23/2020,42H98243YW0144544,126,10,0,0,136,0,136,126
11/23/2020,77417481LC731521G,248,10,0,0,258,0,258,248
11/23/2020,2AG26256ES364480R,28,5,0,0,33,0,33,28
11/20/2020,8K6125811K653092K,38,23,0,0,61,0,61,38
11/19/2020,5JK42232SY735904M,60,23,0,0,83,0,83,60
11/19/2020,4TN97761U5852750L,56,5,0,0,61,0,61,56
11/19/2020,4GJ99193MH347182N,38,5,0,0,43,0,43,38
11/19/2020,4NL91840FS931313N,93,8,0,0,101,0,101,93
11/19/2020,51Y627448J134250B,40,5,0,0,45,0,45,40
11/19/2020,83V78508JF724560X,45,5,0,0,50,0,50,45
11/19/2020,7X683616AE010345X,32,5,0,0,37,0,37,32
11/19/2020,99A85037RR172391L,36,5,0,0,41,0,41,36
11/19/2020,2BF402176G489210J,66,10,0,0,76,0,76,66
11/19/2020,2H547996WM419112U,36,5,0,0,41,0,41,36
11/19/2020,7XF23889761609818,50,5,0,0,55,0,55,50
11/19/2020,2FW24315S0999014K,34,5,0,0,39,0,39,34
11/19/2020,20K630319M7890847,60,5,0,0,65,0,65,60
11/19/2020,0XN85565EK327870E,45,5,0,0,50,0,50,45
11/18/2020,2DS163506F7437046,48,8,0,0,56,0,56,48
11/18/2020,4AH219123J300512K,28,5,0,0,33,0,33,28
11/18/2020,0GL58561FX4745925,76,10,0,0,86,0,86,76
11/18/2020,7E306041PN002111R,46,8,0,0,54,0,54,46
11/18/2020,05F75040B89546019,28,5,0,0,33,0,33,28
11/18/2020,2YM893471A149872S,56,8,0,0,64,0,64,56
11/18/2020,7P608016818666001,28,5,0,0,33,0,33,28
11/17/2020,5KE18192D3410052S,76,10,0,0,86,0,86,76
11/17/2020,6VG67702SS8542816,48,8,0,0,56,0,56,48
11/17/2020,5AX30934FL451404B,28,5,0,0,33,0,33,28
11/17/2020,0BM114759A573322R,28,5,0,0,33,0,33,28
11/17/2020,92P55727P66460214,48,8,0,0,56,0,56,48
11/17/2020,8JK330090N9574213,48,8,0,0,56,0,56,48
11/17/2020,3HK27828SN4000503,28,5,0,0,33,0,33,28
11/17/2020,0LJ83406RC131063H,48,8,0,0,56,0,56,48
11/17/2020,5LK39694EW2868244,28,5,0,0,33,0,33,28
11/17/2020,6S983423NA7286714,28,5,0,0,33,0,33,28
11/17/2020,3TW202799P1346839,48,8,0,0,56,0,56,48
11/17/2020,3DF97725UW096670H,28,5,0,0,33,0,33,28
11/17/2020,5F009827UE8504416,28,5,0,0,33,0,33,28
11/17/2020,9GJ0421662162334R,48,8,0,0,56,0,56,48
11/17/2020,6AL38415DP510830B,48,8,0,0,56,0,56,48
11/17/2020,6LP28063177927341,48,8,0,0,56,0,56,48
11/17/2020,4HH559257K249984K,28,5,0,0,33,0,33,28
11/17/2020,87579657CU133140T,10,5,0,0,15,0,15,10
11/17/2020,9LY6135378546510F,28,5,0,0,33,0,33,28
11/17/2020,8RW368775E627021U,76,10,0,0,86,0,86,76
11/17/2020,7RY26603XM293124W,28,5,0,0,33,0,33,28
11/17/2020,3PW14052EB459545T,56,8,0,0,64,0,64,56
11/17/2020,07F81323FU867253D,28,5,0,0,33,0,33,28
11/17/2020,40728015AX4702747,124,14,0,0,138,0,138,124
11/17/2020,5UN771185P256031V,104,14,0,0,118,0,118,104
11/17/2020,0YJ47601T8709060B,28,5,0,0,33,0,33,28
11/15/2020,64K64791CH8505454,54,37,0,0,91,0,91,54
11/10/2020,28V394029F6739244,45,8,0,0,53,0,53,45
11/9/2020,2FC57782CH885600T,36,8,0,0,44,0,44,36
11/9/2020,2B8655332U132284M,28,5,0,0,33,0,33,28
11/8/2020,7FA21525AW224842M,18,5,0,0,23,0,23,18
11/8/2020,2U6264223C676532E,18,5,0,0,23,0,23,18
11/8/2020,93P57701P3888114D,18,5,0,0,23,0,23,18
11/8/2020,71F956113V782444Y,53,8,0,0,61,0,61,53
11/8/2020,7BB659371W3072349,28,8,0,0,36,0,36,28
11/8/2020,0B882963S6489924U,18,5,0,0,23,0,23,18
11/8/2020,3LP01980D59871648,18,5,0,0,23,0,23,18
11/8/2020,8RP06319NA9506701,18,5,0,0,23,0,23,18
11/8/2020,1RU37581DJ4292703,18,5,0,0,23,0,23,18
11/8/2020,65380075WC279092G,18,5,0,0,23,0,23,18
11/8/2020,3M258719TK6498022,18,5,0,0,23,0,23,18
11/8/2020,8BY36770577314638,18,5,0,0,23,0,23,18
11/8/2020,8TM78763SC771310C,36,8,0,0,44,0,44,36
11/8/2020,9FB85913RR4902059,18,5,0,0,23,0,23,18
11/8/2020,23K734098X0848149,18,5,0,0,23,0,23,18
11/7/2020,1AS14713M3310650C,238,14,0,0,252,0,252,238
11/7/2020,8SE00610A55682817,80,8,0,0,88,0,88,80
11/6/2020,14114388LW2725524,56,5,0,0,61,0,61,56
11/6/2020,16P97150S1132184X,184,8,0,0,192,0,192,184
11/6/2020,0468946078745111T,65,5,0,0,70,0,70,65
11/6/2020,9R366836E5803684B,128,5,0,0,133,0,133,128
11/6/2020,3XJ4414772886543N,65,5,0,0,70,0,70,65
11/6/2020,0MH917116P0597529,60,8,0,0,68,0,68,60
11/6/2020,1HV51885FC043913G,53,10,0,0,63,0,63,53
11/6/2020,9Y4416142V4262644,45,5,0,0,50,0,50,45
11/6/2020,7SV35229C4578200F,80,8,0,0,88,0,88,80
11/5/2020,6XR367560L492793C,18,5,0,0,23,0,23,18
11/5/2020,7F6972407H708974W,140,37,0,0,177,0,177,140
11/5/2020,23L1016078009311Y,18,5,0,0,23,0,23,18
11/5/2020,3X845985KG9298841,10,5,0,0,15,0,15,10
11/4/2020,4UJ402515G831784F,18,5,0,0,23,0,23,18
11/4/2020,7HR24277V9409193T,18,5,0,0,23,0,23,18
11/4/2020,6CA42598FG839680F,36,8,0,0,44,0,44,36
11/4/2020,4TX615438C9308210,18,5,0,0,23,0,23,18
11/4/2020,4JU87587CR144094E,36,8,0,0,44,0,44,36
11/4/2020,3VB899767X217584X,18,23,0,0,41,0,41,18
11/4/2020,5UB31258BM2441848,18,5,0,0,23,0,23,18
11/4/2020,7DE43201T3322054G,18,5,0,0,23,0,23,18
10/23/2020,0RG58614EH417051J,28,5,0,0,33,0,33,28
10/23/2020,13B77576HF0599844,56,29,0,0,85,0,85,56
10/23/2020,4HU13485DW3957022,28,5,0,0,33,0,33,28
10/23/2020,4FG85539FV9039500,28,5,0,0,33,0,33,28
10/23/2020,5CA99128S90451105,28,5,0,0,33,0,33,28
10/23/2020,0ME22868VR375720P,28,5,0,0,33,0,33,28
10/23/2020,4U9063097A806131S,28,23,0,0,51,0,51,28
10/22/2020,4AR32943N8848184P,28,5,0,0,33,0,33,28
10/22/2020,74P6812827439220X,28,5,0,0,33,0,33,28
10/22/2020,5AL24161L55960731,28,5,0,0,33,0,33,28
10/22/2020,22S618157G402410S,76,37,0,0,113,0,113,76
10/22/2020,2C728265HV340770V,48,8,0,0,56,0,56,48
10/22/2020,6WN31143SN9241913,28,5,0,0,33,0,33,28
10/22/2020,6N707976JK976760U,76,10,0,0,86,0,86,76
10/22/2020,3WH36979YN2729616,28,5,0,0,33,0,33,28
10/22/2020,04L29004A2613780U,28,5,0,0,33,0,33,28
10/22/2020,4WX47507T44004405,76,10,0,0,86,0,86,76
10/22/2020,6W0828863R7442109,28,5,0,0,33,0,33,28
10/22/2020,8LC87931F5226390V,28,5,0,0,33,0,33,28
10/22/2020,4.83253E+16,28,5,0,0,33,0,33,28
10/22/2020,1XS43070XB043213D,28,5,0,0,33,0,33,28
10/22/2020,0NL193488V330694V,28,5,0,0,33,0,33,28
10/22/2020,6LN711296F3655049,28,5,0,0,33,0,33,28
10/22/2020,9MF295660R146432B,56,8,0,0,64,0,64,56
10/22/2020,6KJ181019S2692105,28,5,0,0,33,0,33,28
10/22/2020,9X8734218M576793H,28,5,0,0,33,0,33,28
10/22/2020,4SH93383WS986472F,28,5,0,0,33,0,33,28
10/22/2020,1VY09294X1890070L,28,5,0,0,33,0,33,28
10/22/2020,461179073Y514311G,28,5,0,0,33,0,33,28
10/22/2020,41T51983NB320694M,28,5,0,0,33,0,33,28
10/22/2020,82778783C08160139,28,5,0,0,33,0,33,28
10/22/2020,3RJ9187637509684W,56,8,0,0,64,0,64,56
10/21/2020,4TS20735HV286602A,76,10,0,0,86,0,86,76
10/21/2020,8J96302927750062F,93,10,0,0,103,0,103,93
10/21/2020,2BA79470VP413882G,28,5,0,0,33,0,33,28
10/21/2020,7U022399K6857654D,28,5,0,0,33,0,33,28
10/21/2020,3R894986P0518963C,48,5,0,0,53,0,53,48
10/21/2020,7U050712LA8305643,28,5,0,0,33,0,33,28
10/21/2020,8DK08108796704708,126,5,0,0,131,0,131,126
10/21/2020,08X96262G0235841E,48,8,0,0,56,0,56,48
10/21/2020,25117364GE936394J,56,8,0,0,64,0,64,56
10/21/2020,3CN47278L4945913C,28,5,0,0,33,0,33,28
10/21/2020,82801556CE0697649,48,8,0,0,56,0,56,48
10/21/2020,6CM196812S022992L,56,8,0,0,64,0,64,56
10/21/2020,0AF76230SX226470R,28,5,0,0,33,0,33,28
10/21/2020,4J734148P6973152P,48,5,0,0,53,0,53,48
10/20/2020,3FT32599K8918513X,28,5,0,0,33,0,33,28
10/20/2020,3SP282752N922670A,38,29,0,0,67,0,67,38
10/20/2020,2UF76778K3500235C,28,5,0,0,33,0,33,28
10/20/2020,65E58100G9831951A,48,5,0,0,53,0,53,48
10/20/2020,5WX87673ER530430J,28,5,0,0,33,0,33,28
10/20/2020,8FA157185K770592W,28,5,0,0,33,0,33,28
10/20/2020,36P32093WB168783A,48,23,0,0,71,0,71,48
10/20/2020,28A39668JD2403928,0,0,0,0,0,-46,-46,-46
10/20/2020,7KD365051K651553R,28,5,0,0,33,0,33,28
10/20/2020,8U927641100019920,48,5,0,0,53,0,53,48
10/20/2020,3BA704815J736463S,48,5,0,0,53,0,53,48
10/20/2020,6T979888X0790414L,28,5,0,0,33,0,33,28
10/20/2020,0BT2442555073892C,76,8,0,0,84,0,84,76
10/20/2020,12W06489RJ060253U,28,5,0,0,33,0,33,28
10/20/2020,56V957874U080014E,28,5,0,0,33,0,33,28
10/20/2020,9M861856JF8340630,48,5,0,0,53,0,53,48
10/20/2020,4CX50824SR351981B,38,8,0,0,46,0,46,38
10/20/2020,8VN02224D00163337,48,8,0,0,56,0,56,48
10/20/2020,2GX61067TJ580093W,28,5,0,0,33,0,33,28
10/18/2020,3V442404XS0696456,10,5,0,0,15,0,15,10
10/16/2020,93M03995LH5760000,38,8,0,0,46,0,46,38
10/16/2020,7MK89424BC026851H,28,5,0,0,33,0,33,28
10/16/2020,0RG52517XK3067239,42,5,0,0,47,0,47,42
10/16/2020,5GF912691J941251R,28,5,0,0,33,0,33,28
10/16/2020,6SP17653H77502444,28,5,0,0,33,0,33,28
10/16/2020,47G32412L3547180N,28,5,0,0,33,0,33,28
10/16/2020,28T88253R81133824,48,8,0,0,56,0,56,48
10/16/2020,90X99434T4556644S,28,5,0,0,33,0,33,28
10/16/2020,4XF72465DG1472142,48,8,0,0,56,0,56,48
10/16/2020,23R47992M71420055,28,5,0,0,33,0,33,28
10/16/2020,8G591986GV711160H,38,8,0,0,46,0,46,38
10/16/2020,2PM692957W344945Y,73,10,0,0,83,0,83,73
10/16/2020,1WP01631XN789452S,45,5,0,0,50,0,50,45
10/16/2020,26U08174RV965400H,48,8,0,0,56,0,56,48
10/16/2020,3N330409TY1630123,48,5,0,0,53,0,53,48
10/16/2020,44Y16328SN4213544,28,5,0,0,33,0,33,28
10/16/2020,7KW41351WM342515F,48,8,0,0,56,0,56,48
10/16/2020,5EL068329A343764U,28,5,0,0,33,0,33,28
10/16/2020,4FV92707YK958270B,63,8,0,0,71,0,71,63
10/15/2020,0TL62589MA217105G,56,8,0,0,64,0,64,56
10/15/2020,119913307G9090133,28,5,0,0,33,0,33,28
10/15/2020,22Y40282KA378273F,10,5,0,0,15,0,15,10
10/15/2020,7J418996JG0361818,48,5,0,0,53,0,53,48
10/15/2020,8RP100990W697234D,56,8,0,0,64,0,64,56
10/15/2020,45182395PX326804K,56,8,0,0,64,0,64,56
10/15/2020,3E753973M27019402,38,8,0,0,46,0,46,38
10/15/2020,3S1079238E460811U,48,8,0,0,56,0,56,48
10/15/2020,5E352278JD4805922,177,18,0,0,195,0,195,177
10/15/2020,6XS80223AG691263V,28,5,0,0,33,0,33,28
10/15/2020,3H354361DK7365127,84,10,0,0,94,0,94,84
10/15/2020,71488517D59500048,28,5,0,0,33,0,33,28
10/15/2020,8BW8043256715325C,38,8,0,0,46,0,46,38
10/15/2020,2HL69158X0844520A,28,5,0,0,33,0,33,28
10/15/2020,4JS12804RE0628716,48,5,0,0,53,0,53,48
10/15/2020,6VX98738MR917684X,48,5,0,0,53,0,53,48
10/15/2020,2W242060VA132453A,28,5,0,0,33,0,33,28
10/15/2020,4AE341767P351464J,76,8,0,0,84,0,84,76
10/15/2020,8MM23686DL275641D,28,5,0,0,33,0,33,28
10/15/2020,2PW15456U8107334M,48,5,0,0,53,0,53,48
10/15/2020,2U378076AA958935Y,48,8,0,0,56,0,56,48
10/15/2020,7XH1536248863551L,28,5,0,0,33,0,33,28
10/15/2020,87U32328VK367300M,48,5,0,0,53,0,53,48
10/15/2020,80Y24966JX940960N,76,8,0,0,84,0,84,76
10/15/2020,28V61798FT2568032,28,23,0,0,51,0,51,28
10/15/2020,7VK47148GM019252D,48,23,0,0,71,0,71,48
10/15/2020,0NW91544402955437,48,5,0,0,53,0,53,48
10/15/2020,6U048055UY527005T,10,5,0,0,15,0,15,10
10/15/2020,5RW67402BU780474B,48,5,0,0,53,0,53,48
10/15/2020,5DY798165K101731D,56,8,0,0,64,0,64,56
10/15/2020,82S4933949091481D,28,5,0,0,33,0,33,28
10/15/2020,44K6070502412214U,48,8,0,0,56,0,56,48
10/15/2020,3RW654531A0657438,86,10,0,0,96,0,96,86
10/15/2020,01F9015869100210D,28,5,0,0,33,0,33,28
10/15/2020,80Y90006276640101,28,5,0,0,33,0,33,28
10/15/2020,6RJ09983TM651250E,28,5,0,0,33,0,33,28
10/11/2020,16X20034FR521761F,45,5,0,0,50,0,50,45
10/11/2020,41D66815F40099540,48,5,0,0,53,0,53,48
10/9/2020,3WE464457C477704A,188,10,0,0,198,0,198,188
10/9/2020,42847384U12583225,328,5,0,0,333,0,333,328
10/9/2020,1DC39470S2478810K,87.5,10,0,0,97.5,0,97.5,87.5
10/9/2020,0HW4378489253410F,446,8,0,0,454,0,454,446
10/9/2020,57G08152VL494512X,48,5,0,0,53,0,53,48
10/3/2020,01N02689US1202704,56,5,0,0,61,0,61,56
10/1/2020,2K080819ER1674520,112,10,0,0,122,0,122,112
9/30/2020,1RT9248211235983A,110.6,8,0,0,118.6,0,118.6,110.6
9/28/2020,8MA28277MA754505V,164.5,45,0,0,209.5,0,209.5,164.5
9/28/2020,2ST59702TT472493D,15.4,5,0,0,20.4,0,20.4,15.4
9/27/2020,03M71653E58333515,21,8,0,0,29,0,29,21
9/27/2020,6VV301364J083023E,103.6,8,0,0,111.6,0,111.6,103.6
9/27/2020,4MR7625713932191J,103.6,5,0,0,108.6,0,108.6,103.6
9/25/2020,2TA543851X512011T,68.6,10,0,0,78.6,0,78.6,68.6
9/24/2020,203172595T9043121,56,5,0,0,61,0,61,56
